PV,Value
DIAG_MTCA01:PICO7_CH2:RNG0_EEGAIN_RD,2.234390450439605e-10
DIAG_MTCA01:PICO7_CH2:RNG0_EEOFST_RD,3.040618867800049e-09
DIAG_MTCA01:PICO7_CH2:RNG1_EEGAIN_RD,5.895750901374619e-12
DIAG_MTCA01:PICO7_CH2:RNG1_EEOFST_RD,9.042359916389131e-11
DIAG_MTCA01:PICO7_CH3:RNG0_EEGAIN_RD,2.2345969519221853e-10
DIAG_MTCA01:PICO7_CH3:RNG0_EEOFST_RD,-1.8086709019371483e-08
DIAG_MTCA01:PICO7_CH3:RNG1_EEGAIN_RD,5.888132429548998e-12
DIAG_MTCA01:PICO7_CH3:RNG1_EEOFST_RD,-4.52906934178543e-10
DIAG_MTCA01:PICO7_CH4:RNG0_EEGAIN_RD,2.2339825822559334e-10
DIAG_MTCA01:PICO7_CH4:RNG0_EEOFST_RD,-3.1998919070019838e-09
DIAG_MTCA01:PICO7_CH4:RNG1_EEGAIN_RD,5.88740297832735e-12
DIAG_MTCA01:PICO7_CH4:RNG1_EEOFST_RD,-8.417879587829802e-11
DIAG_MTCA01:PICO7_CH5:RNG0_EEGAIN_RD,2.2341829775118782e-10
DIAG_MTCA01:PICO7_CH5:RNG0_EEOFST_RD,-1.168935725992526e-09
DIAG_MTCA01:PICO7_CH5:RNG1_EEGAIN_RD,5.89439651602075e-12
DIAG_MTCA01:PICO7_CH5:RNG1_EEOFST_RD,-2.0991125504465913e-11
DIAG_MTCA01:PICO7_CH6:RNG0_EEGAIN_RD,2.2342781791362398e-10
DIAG_MTCA01:PICO7_CH6:RNG0_EEOFST_RD,-6.7686429794378e-09
DIAG_MTCA01:PICO7_CH6:RNG1_EEGAIN_RD,5.894608585965688e-12
DIAG_MTCA01:PICO7_CH6:RNG1_EEOFST_RD,-1.6624480958515875e-10
DIAG_MTCA01:PICO7_CH7:RNG0_EEGAIN_RD,2.234028240177821e-10
